market,index_name,ticker,announce_date,effective_date,event_type,source,source_url,note,sector,security_name
CN,CSI300,000686,2024-11-29,2024-12-16,inclusion,CSIndex sample adjustment attachment dated 2024-11-29,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,东北证券
CN,CSI300,000708,2024-11-29,2024-12-16,inclusion,CSIndex sample adjustment attachment dated 2024-11-29,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,中信特钢
CN,CSI300,000975,2024-11-29,2024-12-16,inclusion,CSIndex sample adjustment attachment dated 2024-11-29,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,山金国际
CN,CSI300,002625,2024-11-29,2024-12-16,inclusion,CSIndex sample adjustment attachment dated 2024-11-29,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,光启技术
CN,CSI300,300068,2024-11-29,2024-12-16,inclusion,CSIndex sample adjustment attachment dated 2024-11-29,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,南都电源
CN,CSI300,300207,2024-11-29,2024-12-16,inclusion,CSIndex sample adjustment attachment dated 2024-11-29,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,欣旺达
CN,CSI300,300442,2024-11-29,2024-12-16,inclusion,CSIndex sample adjustment attachment dated 2024-11-29,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,润泽科技
CN,CSI300,600839,2024-11-29,2024-12-16,inclusion,CSIndex sample adjustment attachment dated 2024-11-29,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,四川长虹
CN,CSI300,601058,2024-11-29,2024-12-16,inclusion,CSIndex sample adjustment attachment dated 2024-11-29,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,赛轮轮胎
CN,CSI300,601100,2024-11-29,2024-12-16,inclusion,CSIndex sample adjustment attachment dated 2024-11-29,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,恒立液压
CN,CSI300,601168,2024-11-29,2024-12-16,inclusion,CSIndex sample adjustment attachment dated 2024-11-29,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,西部矿业
CN,CSI300,601898,2024-11-29,2024-12-16,inclusion,CSIndex sample adjustment attachment dated 2024-11-29,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,中煤能源
CN,CSI300,688188,2024-11-29,2024-12-16,inclusion,CSIndex sample adjustment attachment dated 2024-11-29,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,柏楚电子
CN,CSI300,688506,2024-11-29,2024-12-16,inclusion,CSIndex sample adjustment attachment dated 2024-11-29,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,百利天恒
CN,CSI300,688608,2024-11-29,2024-12-16,inclusion,CSIndex sample adjustment attachment dated 2024-11-29,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,恒玄科技
CN,CSI300,000423,2025-11-28,2025-12-15,inclusion,CSIndex sample adjustment attachment dated 2025-11-28,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,东阿阿胶
CN,CSI300,002028,2025-11-28,2025-12-15,inclusion,CSIndex sample adjustment attachment dated 2025-11-28,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,思源电气
CN,CSI300,002179,2025-11-28,2025-12-15,inclusion,CSIndex sample adjustment attachment dated 2025-11-28,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,中航光电
CN,CSI300,300339,2025-11-28,2025-12-15,inclusion,CSIndex sample adjustment attachment dated 2025-11-28,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,润和软件
CN,CSI300,300394,2025-11-28,2025-12-15,inclusion,CSIndex sample adjustment attachment dated 2025-11-28,https://www.csindex.com.cn/,Constituent addition extracted from official CSIndex adjustment attachment.,,天孚通信
